"","X","Player","Mat","Inn","NO","Runs","HS","Ave","Balls","SR","X100","X50","X30","X0","X4s","X6s","BpB","Bp4","Bp6","PrB","Pr4","Pr6","BBP","RpB","RpNB","RpI","BpI","Basra","ABP","PRICE.PAID"
"32",32,"dwayne smith",336,326,27,7857,"110",26.28,6161,127.53,5,47,46,28,758,375,5.44,8.13,"16.43",67.23,38.59,28.64,18.39,4.66,0.51,24.1,18.9,153.81,2.33,287500
"33",33,"colin ingram",324,313,44,7810,"127",29.03,5699,137.04,4,47,45,14,692,350,5.47,8.24,"16.28",62.33,35.44,26.89,18.28,4.67,0.63,24.95,18.21,166.08,3.4,8e+05
"35",35,"lendl simmons",290,286,28,7741,"116",30,6484,119.39,2,59,49,28,711,345,6.14,9.12,"18.79",63.48,36.74,26.74,16.29,4.65,0.52,27.07,22.67,149.39,1.63,93750
"36",36,"rilee rossouw",303,292,40,7693,"121",30.53,5312,144.82,6,47,49,26,746,309,5.04,7.12,"17.19",62.89,38.79,24.1,19.86,4.59,0.67,26.35,18.19,175.35,3.13,575000
"37",37,"eoin morgan",367,345,49,7625,"91",25.76,5814,131.15,0,37,62,19,574,358,6.24,10.13,"16.24",58.28,30.11,28.17,16.03,4.77,0.65,22.1,16.85,156.91,4.33,656250
"38",38,"ryan ten doeschate",380,339,79,7597,"121",29.22,5688,133.56,2,34,65,19,463,310,7.36,12.29,"18.35",48.86,24.38,24.48,13.59,4.8,0.79,22.41,16.78,162.78,4.97,125000
"40",40,"brad hodge",275,260,60,7366,"106",36.83,5612,131.25,2,48,59,14,706,248,5.88,7.95,"22.63",58.54,38.34,20.2,17,4.52,0.66,28.33,21.58,168.08,3.33,3e+05
"41",41,"andre russell",437,376,100,7292,"121",26.42,4345,167.83,2,27,63,26,490,589,4.03,8.87,"7.38",75.34,26.88,48.46,24.83,5.09,0.55,19.39,11.56,194.25,5.75,75000
"42",42,"robin uthappa",290,282,24,7272,"92",28.19,5464,133.09,0,42,65,11,720,267,5.54,7.59,"20.46",61.63,39.6,22.03,18.06,4.54,0.62,25.79,19.38,161.28,2.54,250000
"43",43,"ms dhoni",364,322,134,7226,"84",38.44,5376,134.41,0,28,64,7,502,321,6.53,10.71,"16.75",54.44,27.79,26.65,15.31,4.78,0.72,22.44,16.7,172.85,5.11,2e+06
"44",44,"tamim iqbal",249,248,23,7215,"141",32.07,6024,119.77,4,46,57,17,748,217,6.24,8.05,"27.76",59.51,41.47,18.05,16.02,4.45,0.58,29.09,24.29,151.84,1.11,37500
"45",45,"chris lynn",252,244,25,7072,"113",32.29,4938,143.22,4,47,47,15,603,384,5,8.19,"12.86",66.69,34.11,32.58,19.99,4.78,0.6,28.98,20.24,175.51,2.67,250000
"46",46,"lokesh rahul",209,196,31,6986,"132",42.34,5129,136.21,6,60,28,10,589,291,5.83,8.71,"17.63",58.72,33.72,24.99,17.16,4.66,0.68,35.64,26.17,178.55,1.87,2e+06
"47",47,"dinesh karthik",376,334,78,6945,"97",27.13,5129,135.41,0,32,65,23,677,229,5.66,7.58,"22.4",58.78,38.99,19.78,17.66,4.51,0.68,20.79,15.36,162.54,4.75,687500
"49",49,"dwayne bravo",557,429,125,6884,"70*",22.64,5452,126.27,0,20,55,27,440,334,7.04,12.39,"16.32",54.68,25.57,29.11,14.2,4.86,0.67,16.05,12.71,148.91,5.73,550000
"50",50,"kumar sangakkara",265,257,23,6850,"94",29.27,5417,126.45,0,42,57,14,732,136,6.24,7.4,"39.83",54.66,42.74,11.91,16.02,4.31,0.68,26.65,21.08,155.73,3.12,125000
"51",51,"shaun marsh",209,206,25,6846,"115",37.82,5333,128.37,2,54,43,8,662,213,6.09,8.06,"25.04",57.35,38.68,18.67,16.41,4.49,0.66,33.23,25.89,166.19,2.23,275000
"53",53,"shakib al hasan",404,371,55,6779,"89",21.45,5449,124.41,0,29,46,27,628,188,6.68,8.68,"28.98",53.7,37.06,16.64,14.98,4.46,0.68,18.27,14.69,145.86,4.4,187500
"55",55,"manish pandey",292,268,58,6747,"129",32.13,5450,123.8,3,39,54,19,561,210,7.07,9.71,"25.95",51.93,33.26,18.68,14.15,4.54,0.69,25.18,20.34,155.93,3.41,3e+05
"58",58,"ross taylor",294,280,65,6507,"111",30.27,4974,130.82,1,32,52,15,440,314,6.6,11.3,"15.84",56,27.05,28.95,15.16,4.83,0.68,23.24,17.76,161.09,4.22,250000
"60",60,"jean-paul duminy",263,246,76,6367,"99",37.45,5185,122.8,0,42,48,12,463,220,7.59,11.2,"23.57",49.82,29.09,20.73,13.17,4.64,0.71,25.88,21.08,160.25,4.09,125000
"61",61,"gautam gambhir",245,241,24,6346,"93*",29.24,5247,120.95,0,53,33,19,741,87,6.34,7.08,"60.31",54.93,46.71,8.23,15.78,4.21,0.65,26.33,21.77,150.19,1.85,350000
"62",62,"kane williamson",246,236,37,6304,"101",31.68,5139,122.67,1,44,42,9,571,159,7.04,9,"32.32",51.36,36.23,15.13,14.21,4.44,0.7,26.71,21.78,154.35,3.17,250000
"63",63,"andre fletcher",257,252,30,6188,"103",27.87,5212,118.73,3,30,46,16,522,277,6.52,9.98,"18.82",60.6,33.74,26.86,15.33,4.69,0.55,24.56,20.68,146.6,1.79,62500
"64",64,"samit patel",371,309,63,6134,"90",24.94,4890,125.44,0,33,45,16,562,184,6.56,8.7,"26.58",54.65,36.65,18,15.26,4.49,0.67,19.85,15.83,150.37,4.85,62500
"65",65,"david hussey",267,251,47,6097,"100*",29.89,4577,133.21,1,31,51,15,424,239,6.9,10.79,"19.15",51.34,27.82,23.52,14.49,4.72,0.76,24.29,18.24,163.1,4.37,125000
"66",66,"joe denly",257,249,18,6083,"127",26.33,5015,121.3,4,32,55,20,613,174,6.37,8.18,"28.82",57.47,40.31,17.16,15.69,4.44,0.61,24.43,20.14,147.63,1.92,125000
"67",67,"cameron delport",264,255,16,6055,"129",25.33,4327,139.94,5,31,42,23,606,273,4.92,7.14,"15.85",67.09,40.03,27.05,20.31,4.62,0.58,23.75,16.97,165.27,2.25,37500
"68",68,"michael klinger",207,198,25,5960,"126",34.45,4842,123.09,8,33,35,12,550,146,6.96,8.8,"33.16",51.61,36.91,14.7,14.37,4.42,0.7,30.1,24.45,157.54,1.83,187500
"69",69,"ambati rayudu",281,264,42,5953,"100",26.82,4776,124.64,1,31,50,19,494,221,6.68,9.67,"21.61",55.47,33.19,22.27,14.97,4.62,0.65,22.55,18.09,151.46,4.1,843750
"70",70,"daniel christian",407,350,93,5826,"129",22.67,4228,137.8,2,17,43,23,385,287,6.29,10.98,"14.73",55.99,26.43,29.56,15.89,4.85,0.72,16.65,12.08,160.46,5.36,187500
"71",71,"suryakumar yadav",241,219,46,5790,"117*",33.47,3904,148.31,3,36,40,16,580,233,4.8,6.73,"16.76",64.21,40.07,24.15,20.82,4.57,0.67,26.44,17.83,181.78,4.12,4e+05
"73",73,"evin lewis",210,203,14,5766,"125",30.51,4002,144.08,5,39,29,10,471,392,4.64,8.5,"10.21",73.47,32.67,40.79,21.56,4.91,0.49,28.4,19.71,174.59,2,250000
"74",74,"ajinkya rahane",230,220,21,5759,"105",28.94,4782,120.43,2,41,38,20,595,119,6.7,8.04,"40.18",53.72,41.33,12.4,14.93,4.33,0.66,26.18,21.74,149.37,1.91,62500
"75",75,"moeen ali",271,256,29,5753,"121",25.34,4056,141.84,2,30,44,22,516,284,5.07,7.86,"14.28",65.5,35.88,29.62,19.72,4.71,0.61,22.47,15.84,167.18,3.59,875000
"76",76,"sanju samson",231,224,23,5738,"119",28.55,4325,132.67,3,37,41,16,465,250,6.05,9.3,"17.3",58.56,32.42,26.14,16.53,4.7,0.66,25.62,19.31,161.22,3.2,1e+06
"80",80,"kevin pietersen",198,192,24,5669,"115",33.74,4130,137.26,3,35,45,14,492,220,5.8,8.39,"18.77",58,34.72,23.28,17.24,4.62,0.7,29.53,21.51,171.01,3.08,437500
"82",82,"richard levi",224,216,13,5543,"117",27.31,3860,143.6,3,34,42,19,575,262,4.61,6.71,"14.73",69.85,41.49,28.36,21.68,4.63,0.55,25.66,17.87,170.91,1.37,62500
"83",83,"johnson charles",221,216,9,5537,"118",26.75,4227,130.99,3,31,42,17,526,258,5.39,8.04,"16.38",65.96,38,27.96,18.55,4.66,0.55,25.63,19.57,157.74,1.74,62500
"84",84,"owais shah",229,217,49,5509,"84*",32.79,4406,125.03,0,30,51,11,423,215,6.91,10.42,"20.49",54.13,30.71,23.42,14.48,4.67,0.67,25.39,20.3,157.83,3.82,125000
"85",85,"mahela jayawardene",222,214,27,5479,"116",29.3,4150,132.02,3,36,36,11,634,136,5.39,6.55,"30.51",61.18,46.29,14.89,18.55,4.35,0.63,25.6,19.39,161.32,2.89,5e+05
"86",86,"cameron white",240,230,52,5469,"141",30.72,4329,126.33,2,35,36,12,379,229,7.12,11.42,"18.9",52.84,27.72,25.12,14.04,4.75,0.69,23.78,18.82,157.06,3.9,250000
"89",89,"glenn phillips",202,190,25,5408,"116",32.78,3828,141.27,5,37,33,10,413,289,5.45,9.27,"13.25",62.61,30.55,32.06,18.34,4.82,0.65,28.46,20.15,174.05,3.13,187500
"91",91,"mushfiqur rahim",258,239,54,5381,"98",29.09,4255,126.46,0,31,41,19,461,150,6.96,9.23,"28.37",50.99,34.27,16.73,14.36,4.49,0.72,22.51,17.8,155.55,4.48,125000
"92",92,"reeza hendricks",182,169,20,5316,"108",35.68,4189,126.9,4,38,33,13,525,128,6.42,7.98,"32.73",53.95,39.5,14.45,15.59,4.39,0.69,31.46,24.79,162.58,2.07,62500
"94",94,"mohammad nabi",365,307,59,5286,"89",21.31,3849,137.33,0,14,50,14,364,262,6.15,10.57,"14.69",57.28,27.54,29.74,16.26,4.84,0.7,17.22,12.54,158.65,5.5,125000
"96",96,"nicholas pooran",266,243,36,5205,"100",25.14,3632,143.31,1,28,35,22,331,358,5.27,10.97,"10.15",66.71,25.44,41.27,18.97,5.04,0.59,21.42,14.95,168.45,4.68,2e+06
"97",97,"laurie evans",223,205,49,5157,"108",33.06,3811,135.32,2,34,32,10,440,182,6.13,8.66,"20.94",55.3,34.13,21.18,16.32,4.59,0.72,25.16,18.59,168.38,3.95,50000
"98",98,"steven smith",239,211,45,5150,"125*",31.02,4036,127.6,3,22,45,6,443,133,7.01,9.11,"30.35",49.9,34.41,15.5,14.27,4.46,0.75,24.41,19.13,158.63,4.22,275000
"99",99,"shreyas iyer",195,191,29,5132,"147",31.68,3949,129.96,2,32,37,9,427,205,6.25,9.25,"19.26",57.25,33.28,23.97,16,4.65,0.66,26.87,20.68,161.64,3.35,1531250
"100",100,"tillakaratne dilshan",219,216,24,5120,"104*",26.67,4197,121.99,1,33,36,23,617,110,5.77,6.8,"38.15",61.09,48.2,12.89,17.32,4.3,0.57,23.7,19.43,148.66,2.23,187500
"102",102,"sam billings",259,245,34,5064,"95",24,3877,130.62,0,27,33,10,423,162,6.63,9.17,"23.93",52.61,33.41,19.19,15.09,4.55,0.73,20.67,15.82,154.62,4.29,250000
"104",104,"liam livingstone",207,196,21,5024,"103",28.71,3441,146,2,29,31,8,344,306,5.29,10,"11.25",63.93,27.39,36.54,18.89,4.94,0.65,25.63,17.56,174.71,3.27,1437500
"106",106,"devon conway",147,141,29,4907,"105",43.81,3805,128.96,2,39,29,9,515,119,6,7.39,"31.97",56.53,41.98,14.55,16.66,4.38,0.67,34.8,26.99,172.77,2.44,125000
"107",107,"moises henriques",261,235,51,4903,"77",26.65,3826,128.15,0,24,36,12,370,148,7.39,10.34,"25.85",48.3,30.19,18.11,13.54,4.57,0.77,20.86,16.28,154.8,4.2,525000
"108",108,"yusuf pathan",274,243,67,4852,"100",27.57,3482,139.35,1,21,34,19,376,243,5.63,9.26,"14.33",61.05,31,30.05,17.78,4.79,0.66,19.97,14.33,166.91,4.84,237500
"112",112,"yuvraj singh",227,212,27,4767,"83",25.77,3669,129.93,0,27,35,8,378,259,5.76,9.71,"14.17",64.32,31.72,32.6,17.36,4.81,0.56,22.49,17.31,155.69,4.12,125000
"113",113,"marcus stoinis",225,204,51,4653,"147",30.41,3400,136.85,1,24,33,16,385,189,5.92,8.83,"17.99",57.47,33.1,24.37,16.88,4.66,0.7,22.81,16.67,167.26,3.94,6e+05
"114",113,"rassie van der dussen",166,157,28,4653,"112",36.07,3609,128.93,3,30,34,7,333,197,6.81,10.84,"18.32",54.03,28.63,25.4,14.69,4.74,0.69,29.64,22.99,165,2.72,125000
"115",115,"kevin o'brien",252,237,31,4574,"124",22.2,3401,134.49,2,15,43,22,375,208,5.83,9.07,"16.35",60.08,32.79,27.28,17.14,4.71,0.65,19.3,14.35,156.69,3.6,37500
"116",116,"michael hussey",161,149,27,4569,"116*",37.45,3658,124.9,1,35,24,4,423,121,6.72,8.65,"30.23",52.92,37.03,15.89,14.87,4.44,0.69,30.66,24.55,162.36,2.78,187500
"117",117,"matthew wade",231,203,33,4559,"130",26.82,3360,135.68,1,25,32,8,396,153,6.12,8.48,"21.96",54.88,34.74,20.14,16.34,4.56,0.73,22.46,16.55,162.5,3.46,3e+05
"118",118,"hashim amla",165,162,15,4528,"104",30.8,3587,126.23,2,30,32,10,477,96,6.26,7.52,"37.36",54.86,42.14,12.72,15.97,4.34,0.68,27.95,22.14,157.04,1.77,125000
"120",120,"marlon samuels",185,179,36,4469,"106",31.25,3819,117.02,1,29,28,7,373,187,6.82,10.24,"20.42",58.49,33.39,25.11,14.66,4.67,0.57,24.97,21.34,148.27,3.59,62500
"121",121,"d'arcy short",145,145,15,4418,"122",33.98,3385,130.52,2,31,31,9,458,140,5.66,7.39,"24.18",60.48,41.47,19.01,17.67,4.47,0.63,30.47,23.34,164.5,2.03,125000
"122",122,"jacques kallis",176,171,27,4416,"97",30.67,3927,112.45,0,32,32,13,436,100,7.33,9.01,"39.27",53.08,39.49,13.59,13.65,4.37,0.61,25.82,22.96,143.12,2.21,687500
"123",123,"shahid afridi",329,278,39,4405,"101",18.43,2848,154.67,1,11,30,27,322,257,4.92,8.84,"11.08",64.25,29.24,35.01,20.33,4.89,0.69,15.85,10.24,173.1,5.33,5e+05
"124",124,"thisara perera",349,290,84,4400,"97",21.36,2904,151.52,0,12,30,26,317,247,5.15,9.16,"11.76",62.5,28.82,33.68,19.42,4.88,0.71,15.17,10.01,172.87,6.19,125000
"125",125,"james franklin",230,210,51,4372,"90",27.5,3505,124.74,0,15,41,9,274,180,7.72,12.79,"19.47",49.77,25.07,24.7,12.95,4.79,0.72,20.82,16.69,152.23,4.68,62500
"127",127,"ben duckett",178,170,27,4327,"96*",30.26,3147,137.5,0,27,28,6,504,83,5.36,6.24,"37.92",58.1,46.59,11.51,18.65,4.28,0.71,25.45,18.51,167.75,3.51,62500
"129",129,"jonny bairstow",176,166,26,4302,"114",30.73,3112,138.24,3,25,27,8,372,187,5.57,8.37,"16.64",60.67,34.59,26.08,17.96,4.67,0.66,25.92,18.75,168.97,3.49,843750
"130",130,"mayank agarwal",186,181,13,4301,"111",25.6,3222,133.49,2,24,27,13,426,153,5.56,7.56,"21.06",60.96,39.62,21.34,17.97,4.53,0.64,23.76,17.8,159.09,2.3,1031250
"131",131,"parthiv patel",200,197,12,4242,"82",22.93,3424,123.89,0,23,33,15,548,78,5.47,6.25,"43.9",62.71,51.67,11.03,18.28,4.25,0.57,21.53,17.38,146.82,1.71,212500
"132",132,"albie morkel",315,252,92,4238,"73",26.49,3056,138.68,0,12,33,12,268,247,5.93,11.4,"12.37",60.26,25.3,34.97,16.85,4.96,0.66,16.82,12.13,165.17,5.67,37500
"134",134,"dinesh chandimal",181,167,26,4224,"101",29.96,3512,120.27,1,27,27,4,372,117,7.18,9.44,"30.02",51.85,35.23,16.62,13.92,4.48,0.67,25.29,21.03,150.23,3.25,62500
"135",135,"murali vijay",169,166,5,4223,"127",26.23,3456,122.19,3,23,34,8,395,148,6.36,8.75,"23.35",58.44,37.41,21.03,15.71,4.55,0.6,25.44,20.82,148.42,1.77,250000
"136",136,"rishabh pant",174,163,29,4221,"128",31.5,2928,144.16,2,20,38,7,383,190,5.11,7.64,"15.41",63.3,36.29,27.01,19.57,4.66,0.66,25.9,17.96,175.66,4.01,237500
"137",137,"mohammad shahzad",151,151,12,4213,"118",30.31,3131,134.56,2,27,31,9,470,170,4.89,6.66,"18.42",68.83,44.62,24.21,20.44,4.53,0.53,27.9,20.74,164.87,1.45,62500
"138",138,"luke ronchi",202,186,21,4193,"102",25.41,2731,153.53,1,25,27,18,420,192,4.46,6.5,"14.22",67.54,40.07,27.47,22.41,4.63,0.64,22.54,14.68,178.95,2.92,93750
"141",141,"wriddhiman saha",230,203,34,4173,"129",24.69,3237,128.92,2,22,22,10,396,135,6.1,8.17,"23.98",57.37,37.96,19.41,16.4,4.51,0.66,20.56,15.95,153.61,3.64,237500
"144",144,"george bailey",213,188,45,4131,"89",28.89,3139,131.6,0,23,32,6,350,124,6.62,8.97,"25.31",51.9,33.89,18.01,15.1,4.52,0.75,21.97,16.7,160.49,4.56,406250
"147",147,"phil salt",180,175,13,4123,"88",25.45,2752,149.82,0,28,23,8,453,137,4.66,6.08,"20.09",63.89,43.95,19.94,21.44,4.46,0.69,23.56,15.73,175.27,1.79,250000
"148",148,"dane vilas",220,188,43,4104,"75*",28.3,3185,128.85,0,16,44,9,305,127,7.37,10.44,"25.08",48.29,29.73,18.57,13.56,4.59,0.77,21.83,16.94,157.16,4.39,37500
"149",149,"azhar mahmood",230,207,46,4091,"106",25.41,3023,135.33,2,18,27,12,383,138,5.8,7.89,"21.91",57.69,37.45,20.24,17.23,4.53,0.69,19.76,14.6,160.74,4.96,62500
"150",150,"hamish rutherford",180,173,5,4090,"106",24.35,2871,142.46,2,17,39,12,423,182,4.75,6.79,"15.77",68.07,41.37,26.7,21.07,4.6,0.58,23.64,16.6,166.8,1.5,37500
"153",153,"virender sehwag",157,157,6,4061,"122",26.89,2747,147.83,2,24,27,12,487,147,4.33,5.64,"18.69",69.69,47.97,21.72,23.08,4.46,0.58,25.87,17.5,174.73,1.99,4e+05
"154",154,"litton das",180,175,7,4055,"83",24.14,3154,128.57,0,24,32,12,429,119,5.76,7.35,"26.5",59.93,42.32,17.61,17.37,4.43,0.62,23.17,18.02,152.7,1.95,62500
"155",155,"hardik pandya",227,197,57,4051,"91",28.94,2905,139.45,0,15,36,8,296,211,5.73,9.81,"13.77",60.48,29.23,31.25,17.45,4.83,0.67,20.56,14.75,168.38,5.26,12500
"156",156,"colin de grandhomme",244,221,46,4049,"86",23.14,2582,156.82,0,15,40,17,290,238,4.89,8.9,"10.85",63.92,28.65,35.27,20.45,4.9,0.71,18.32,11.68,179.95,4.88,275000
"157",157,"scott styris",201,187,29,4020,"106",25.44,2987,134.58,2,13,35,7,264,195,6.51,11.31,"15.32",55.37,26.27,29.1,15.37,4.85,0.71,21.5,15.97,160.03,4.73,1250
"158",158,"adam voges",178,167,35,4010,"82",30.38,3172,126.42,0,18,38,4,339,66,7.83,9.36,"48.06",43.69,33.82,9.88,12.77,4.33,0.82,24.01,18.99,156.8,3.93,125000
"160",160,"morne van wyk",156,145,16,3983,"114*",30.88,3160,126.04,1,28,29,7,439,100,5.86,7.2,"31.6",59.15,44.09,15.06,17.06,4.37,0.62,27.47,21.79,156.92,1.68,37500
"161",161,"nitish rana",162,151,15,3974,"107",29.22,2912,136.47,1,26,26,9,340,212,5.28,8.56,"13.74",66.23,34.22,32.01,18.96,4.77,0.57,26.32,19.28,165.69,3.79,1e+06
"165",165,"hamilton masakadza",126,125,15,3910,"162",35.55,3075,127.15,4,29,16,5,321,165,6.33,9.58,"18.64",58.16,32.84,25.32,15.8,4.68,0.63,31.28,24.6,162.7,1.88,250000
"167",167,"herschelle gibbs",171,167,12,3895,"101",25.13,3163,123.14,1,28,23,23,404,120,6.04,7.83,"26.36",59.97,41.49,18.49,16.57,4.46,0.59,23.32,18.94,148.27,2.28,62500
"169",169,"ishan kishan",151,144,10,3880,"113",28.96,2973,130.51,3,21,28,10,374,172,5.45,7.95,"17.28",65.15,38.56,26.6,18.37,4.63,0.56,26.94,20.65,159.46,2.49,1906250
"171",170,"henry davids",184,175,12,3869,"112",23.74,3101,124.77,1,23,29,17,358,144,6.18,8.66,"21.53",59.34,37.01,22.33,16.19,4.57,0.61,22.11,17.72,148.5,2.26,62500
"172",172,"darren sammy",313,263,72,3849,"71",20.15,2786,138.16,0,6,32,19,248,234,5.78,11.23,"11.91",62.25,25.77,36.48,17.3,4.97,0.63,14.64,10.59,158.31,6.4,37500
"174",174,"brendan taylor",169,164,22,3844,"140",27.07,3087,124.52,2,25,24,11,376,107,6.39,8.21,"28.85",55.83,39.13,16.7,15.65,4.44,0.65,23.44,18.82,151.59,2.8,37500
"176",176,"tom kohler-cadmore",145,143,15,3787,"127",29.59,2724,139.02,1,29,20,10,328,175,5.42,8.3,"15.57",62.37,34.64,27.73,18.47,4.7,0.64,26.48,19.05,168.61,2.64,50000
"177",177,"dasun shanaka",184,173,38,3775,"131",27.96,2650,142.45,3,16,29,16,268,222,5.41,9.89,"11.94",63.68,28.4,35.28,18.49,4.91,0.63,21.82,15.32,170.42,5.46,62500
"178",178,"david wiese",326,247,84,3749,"79",23,2615,143.37,0,9,30,21,257,197,5.76,10.18,"13.27",58.95,27.42,31.53,17.36,4.87,0.71,15.18,10.59,166.37,6.23,125000
"182",182,"michael carberry",144,136,17,3712,"100",31.19,2979,124.61,1,29,24,5,393,104,5.99,7.58,"28.64",59.16,42.35,16.81,16.68,4.42,0.61,27.29,21.9,155.8,2.56,62500
"183",183,"farhaan behardien",203,170,68,3705,"72*",36.32,2821,131.34,0,14,39,6,224,137,7.81,12.59,"20.59",46.37,24.18,22.19,12.8,4.76,0.81,21.79,16.59,167.66,5.21,37500
"184",184,"mitchell marsh",159,149,33,3700,"100",31.9,2864,129.19,1,22,33,9,261,164,6.74,10.97,"17.46",54.81,28.22,26.59,14.84,4.77,0.69,24.83,19.22,161.09,4.33,812500
"192",192,"mandeep singh",195,167,36,3624,"99",27.66,2837,127.74,0,18,26,19,365,94,6.18,7.77,"30.18",55.85,40.29,15.56,16.18,4.41,0.67,21.7,16.99,155.4,3.54,62500
"195",195,"najibullah zadran",193,173,45,3582,"97*",27.98,2588,138.41,0,18,23,15,245,198,5.84,10.56,"13.07",60.52,27.36,33.17,17.12,4.89,0.66,20.71,14.96,166.39,5.36,62500
